filename, language, YAML, JavaScript, JSON, Markdown, TypeScript, Vue, XML, HTML, CSS, comment, blank, total
d:\Repos\Web\Aphelion\Final\App.yaml, YAML, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 10
d:\Repos\Web\Aphelion\Final\Client\README.md, Markdown, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
d:\Repos\Web\Aphelion\Final\Client\babel.config.js, JavaScript, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
d:\Repos\Web\Aphelion\Final\Client\package-lock.json, JSON, 0, 0, 13322, 0, 0, 0, 0, 0, 0, 0, 1, 13323
d:\Repos\Web\Aphelion\Final\Client\package.json, JSON, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 1, 67
d:\Repos\Web\Aphelion\Final\Client\src\assets\images\Info.svg, XML, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
d:\Repos\Web\Aphelion\Final\Client\src\assets\images\MusicOff.svg, XML, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
d:\Repos\Web\Aphelion\Final\Client\src\assets\images\MusicOn.svg, XML, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
d:\Repos\Web\Aphelion\Final\Client\src\components\AnimatedLogo.vue, Vue, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
d:\Repos\Web\Aphelion\Final\Client\src\components\App.vue, Vue, 0, 0, 0, 0, 0, 50, 0, 0, 0, 1, 12, 63
d:\Repos\Web\Aphelion\Final\Client\src\components\Parallax.vue, Vue, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
d:\Repos\Web\Aphelion\Final\Client\src\components\layout\BackgroundMusic.vue, Vue, 0, 0, 0, 0, 0, 53, 0, 0, 0, 1, 6, 60
d:\Repos\Web\Aphelion\Final\Client\src\components\layout\Header.vue, Vue, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
d:\Repos\Web\Aphelion\Final\Client\src\components\layout\PlayerCount.vue, Vue, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 7, 65
d:\Repos\Web\Aphelion\Final\Client\src\components\layout\TwoPanel.vue, Vue, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 9, 62
d:\Repos\Web\Aphelion\Final\Client\src\components\layout\about\AboutContent.vue, Vue, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 8, 81
d:\Repos\Web\Aphelion\Final\Client\src\components\layout\about\AboutLink.vue, Vue, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
d:\Repos\Web\Aphelion\Final\Client\src\components\layout\account\AccountPage.vue, Vue, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 10, 100
